,Julio, ,,Presentación,Tiempo Reportado,,Cajas Producidas,Turno,Velocidad de linea,Tiempo de Producción,Tiempo Total Repotado,Tiempo por Repotar (min),Meta de Producción,Tiempo por Repotar (h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,,,"0,00",0,,FW-,0,,,"0,00",#N/A,Ruptura de Sellado de Polietileno,FW-,0,,,"0,00",0,Ruptura de Sellado de Polietileno,FW-,0,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,,,"0,00",0,,FW-,0,,,"0,00",#N/A,Envases Atascados,FW-,0,,,"0,00",0,Envases Atascados,FW-,0,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,,,"0,00",0,,FW-,0,,,"0,00",#N/A,Descarte de Envases,FW-,0,,,"0,00",0,Descarte de Envases,FW-,0,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,,,"0,00",0,,FW-,0,,,"0,00",#N/A,Cambio de Bobina de Polietileno,FW-,0,,,"0,00",0,Cambio de Bobina de Polietileno,FW-,0,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,-----,,,,,"3,75",Total,-----,,,,,"0,00",Total,-----,,,,,#VALUE!,Total,-----,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,MANTENIMIENTO,Linea 1 TBA 1000cc,,,,,,,Linea 2 TPA 250cc,,,,,,,TPA L3 200cc,,,,,,,Linea 3 TPA 200cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nombre de la Parada (Mecanica),Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),Nombre de la Parada (Mecanica),Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),Nombre de la Parada (Mecanica),Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),Nombre de la Parada (Mecanica),Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,0,,"0,00",0,,SA-,0,0,,"0,00",0,,FALSE,0,0,,"0,00",0,,SA-,0,0,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,0,,"0,00",0,,SA-,0,0,,"0,00",0,,FALSE,0,0,,"0,00",0,,SA-,0,0,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,0,,"0,00",0,,SA-,0,0,,"0,00",0,,FALSE,0,0,,"0,00",0,,SA-,0,0,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,0,,"0,00",0,,SA-,0,0,,"0,00",0,Pitillos Despegados,FALSE,0,0,,"0,00",0,Pitillos Despegados,SA-,0,0,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,Cap-,0,0,,"0,00",0,,SA-,0,0,,"0,00",0,Transportador de Salida,FALSE,0,0,,"0,00",0,Transportador de Salida,SA-,0,0,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Linea 1 TBA 500cc,,,,,,,Linea 2 TPA 200cc,,,,,,,Linea 3 TPA 330cc,,,,,,,,,,,,,,,,,Turno 3,,6/09/2026,,,,,,,,0709261,1,3,,,,,,,,,,,,,,,,,,,,,
,,Nombre de la Parada (Mecanica),Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),Nombre de la Parada (Mecanica),Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),Nombre de la Parada (Mecanica),Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),,,,,,,,,,,Turno 1,,CONTROL DE SEMIELABORADO TOTAL DEL DIA,,,,,,,,CONTROL DE SEMIELABORADO POR TURNO,,,,,,,,,,,,,,,,,,Turno 3,,,Turno 3,,
